iter	Passed	Remaining
0	104	104746
1	106	53364
2	108	36176
3	110	27453
4	112	22459
5	114	18963
6	115	16418
7	117	14630
8	119	13213
9	121	12023
10	122	11058
11	124	10249
12	125	9558
13	127	8953
14	128	8426
15	129	7994
16	131	7619
17	133	7277
18	135	7000
19	137	6734
20	138	6467
21	140	6228
22	141	6022
23	143	5824
24	144	5638
25	146	5469
26	147	5332
27	149	5186
28	150	5050
29	152	4922
30	153	4797
31	154	4682
32	156	4580
33	158	4517
34	161	4456
35	163	4366
36	164	4287
37	166	4211
38	167	4137
39	169	4061
40	170	3990
41	172	3924
42	173	3862
43	174	3798
44	176	3735
45	177	3680
46	178	3627
47	180	3572
48	181	3520
49	183	3487
50	185	3444
51	186	3399
52	187	3354
53	189	3317
54	190	3280
55	192	3240
56	193	3200
57	195	3174
58	197	3146
59	198	3113
60	199	3078
61	201	3046
62	202	3014
63	203	2982
64	205	2949
65	206	2918
66	207	2890
67	208	2860
68	209	2832
69	211	2805
70	212	2780
71	214	2759
72	215	2736
73	216	2712
74	217	2687
75	219	2665
76	220	2646
77	221	2623
78	223	2600
79	224	2578
80	225	2561
81	227	2541
82	227	2517
83	229	2498
84	230	2478
85	231	2464
86	233	2447
87	234	2428
88	235	2411
89	236	2393
90	238	2381
91	239	2367
92	241	2351
93	242	2335
94	243	2320
95	244	2306
96	246	2292
97	247	2277
98	248	2262
99	250	2253
100	251	2240
101	253	2228
102	254	2215
103	255	2203
104	257	2191
105	258	2180
106	260	2169
107	261	2160
108	263	2152
109	264	2141
110	265	2129
111	266	2116
112	268	2103
113	269	2094
114	270	2084
115	272	2073
116	273	2060
117	274	2049
118	275	2038
119	276	2028
120	277	2018
121	278	2007
122	280	1998
123	281	1991
124	283	1982
125	284	1972
126	285	1961
127	286	1952
128	288	1946
129	289	1937
130	290	1928
131	291	1919
132	293	1913
133	294	1906
134	296	1899
135	297	1891
136	299	1883
137	300	1876
138	301	1869
139	303	1862
140	304	1854
141	305	1843
142	306	1838
143	308	1831
144	309	1823
145	310	1815
146	311	1809
147	313	1802
148	314	1795
149	315	1787
150	316	1780
151	318	1775
152	319	1769
153	321	1763
154	322	1757
155	323	1752
156	325	1746
157	326	1740
158	327	1734
159	329	1728
160	330	1720
161	331	1715
162	332	1708
163	333	1702
164	335	1695
165	336	1690
166	337	1685
167	339	1679
168	340	1673
169	341	1667
170	343	1663
171	344	1658
172	345	1652
173	346	1646
174	347	1640
175	349	1636
176	350	1631
177	352	1626
178	353	1622
179	355	1617
180	356	1613
181	358	1609
182	359	1604
183	360	1599
184	362	1595
185	363	1590
186	364	1585
187	365	1580
188	367	1575
189	368	1571
190	370	1568
191	371	1563
192	372	1558
193	374	1554
194	375	1551
195	377	1547
196	378	1543
197	381	1544
198	383	1541
199	384	1538
200	386	1537
201	388	1533
202	389	1529
203	390	1524
204	392	1520
205	393	1517
206	395	1514
207	396	1510
208	397	1506
209	399	1503
210	401	1499
211	403	1498
212	406	1500
213	407	1497
214	408	1493
215	410	1490
216	412	1486
217	413	1483
218	414	1479
219	416	1474
220	417	1472
221	419	1469
222	420	1465
223	421	1461
224	423	1458
225	424	1455
226	426	1452
227	427	1447
228	429	1444
229	430	1442
230	432	1439
231	433	1435
232	435	1432
233	436	1428
234	437	1425
235	439	1422
236	440	1418
237	442	1415
238	443	1411
239	444	1408
240	446	1405
241	447	1402
242	449	1399
243	450	1395
244	451	1392
245	453	1388
246	454	1385
247	455	1382
248	457	1379
249	458	1376
250	460	1372
251	461	1370
252	463	1367
253	464	1364
254	465	1360
255	467	1358
256	468	1355
257	470	1352
258	471	1348
259	472	1345
260	473	1341
261	475	1338
262	476	1335
263	477	1331
264	478	1328
265	480	1325
266	481	1322
267	482	1318
268	484	1315
269	485	1312
270	487	1310
271	488	1307
272	489	1304
273	492	1303
274	493	1300
275	494	1297
276	495	1294
277	497	1290
278	498	1288
279	499	1285
280	501	1282
281	502	1279
282	503	1276
283	505	1273
284	506	1270
285	507	1267
286	508	1264
287	510	1262
288	512	1259
289	513	1256
290	514	1253
291	515	1250
292	517	1248
293	518	1245
294	519	1242
295	521	1239
296	522	1236
297	523	1233
298	525	1232
299	527	1231
300	529	1229
301	530	1226
302	532	1223
303	533	1220
304	534	1218
305	536	1215
306	537	1213
307	538	1210
308	540	1208
309	542	1206
310	544	1205
311	545	1203
312	547	1200
313	548	1198
314	550	1197
315	552	1195
316	554	1194
317	555	1191
318	556	1189
319	558	1186
320	559	1183
321	560	1180
322	561	1177
323	562	1174
324	564	1171
325	565	1168
326	566	1166
327	568	1164
328	569	1161
329	570	1158
330	571	1155
331	573	1153
332	574	1150
333	575	1147
334	577	1145
335	578	1143
336	580	1141
337	581	1138
338	582	1136
339	584	1133
340	585	1131
341	586	1128
342	587	1125
343	589	1123
344	590	1120
345	591	1118
346	592	1115
347	594	1113
348	595	1110
349	596	1107
350	597	1104
351	599	1102
352	600	1101
353	602	1098
354	603	1096
355	605	1094
356	606	1092
357	607	1089
358	608	1087
359	610	1084
360	611	1082
361	612	1080
362	614	1077
363	615	1075
364	616	1073
365	618	1071
366	619	1068
367	620	1066
368	622	1064
369	623	1062
370	625	1060
371	626	1057
372	628	1056
373	630	1054
374	631	1052
375	632	1050
376	634	1048
377	635	1046
378	637	1044
379	638	1042
380	640	1040
381	641	1038
382	642	1035
383	644	1033
384	645	1031
385	646	1029
386	648	1026
387	649	1024
388	650	1022
389	651	1019
390	653	1017
391	655	1016
392	656	1013
393	657	1011
394	659	1009
395	660	1007
396	661	1004
397	662	1002
398	663	1000
399	665	997
400	666	995
401	667	993
402	669	991
403	670	988
404	671	987
405	673	985
406	674	982
407	675	980
408	676	977
409	678	976
410	679	974
411	680	971
412	682	969
413	683	967
414	685	966
415	686	963
416	687	961
417	689	959
418	690	957
419	691	955
420	693	953
421	694	950
422	695	948
423	697	946
424	698	945
425	699	943
426	701	940
427	702	938
428	704	937
429	705	935
430	706	933
431	708	931
432	709	929
433	710	927
434	712	924
435	713	922
436	714	920
437	715	918
438	717	916
439	718	914
440	719	911
441	720	909
442	722	908
443	723	906
444	724	904
445	726	901
446	727	900
447	728	898
448	730	895
449	731	893
450	732	891
451	733	889
452	735	887
453	736	885
454	738	884
455	739	882
456	740	880
457	742	878
458	743	875
459	744	873
460	745	872
461	747	870
462	748	868
463	750	866
464	751	864
465	752	862
466	754	860
467	755	858
468	756	856
469	757	854
470	759	852
471	761	851
472	762	849
473	763	847
474	764	845
475	765	842
476	767	840
477	768	838
478	769	836
479	770	834
480	772	833
481	773	831
482	774	829
483	776	827
484	777	825
485	778	823
486	780	821
487	781	819
488	782	817
489	783	815
490	785	814
491	786	812
492	787	810
493	789	808
494	790	806
495	791	804
496	793	802
497	794	800
498	795	799
499	797	797
500	798	795
501	799	793
502	800	791
503	801	789
504	803	787
505	804	785
506	805	783
507	807	781
508	808	779
509	809	778
510	811	776
511	812	774
512	813	772
513	815	770
514	816	768
515	817	766
516	818	764
517	820	763
518	822	761
519	823	759
520	824	758
521	825	756
522	827	754
523	828	752
524	829	750
525	831	748
526	832	746
527	833	745
528	834	743
529	835	741
530	836	739
531	837	737
532	839	735
533	840	733
534	842	731
535	843	729
536	844	728
537	846	726
538	848	725
539	849	723
540	851	722
541	852	720
542	854	718
543	855	716
544	856	714
545	857	713
546	859	711
547	860	709
548	861	707
549	862	705
550	864	704
551	865	702
552	866	700
553	868	699
554	869	697
555	871	695
556	872	694
557	873	692
558	874	690
559	876	688
560	877	686
561	878	684
562	879	682
563	881	681
564	882	679
565	884	678
566	885	676
567	886	674
568	888	672
569	889	671
570	890	669
571	892	667
572	893	665
573	895	664
574	897	663
575	898	661
576	899	659
577	902	658
578	903	657
579	904	655
580	906	654
581	908	652
582	910	651
583	911	649
584	912	647
585	914	646
586	915	644
587	916	642
588	918	640
589	919	638
590	920	637
591	922	635
592	923	633
593	924	631
594	925	630
595	927	628
596	928	626
597	930	625
598	931	623
599	933	622
600	935	620
601	936	619
602	938	617
603	939	615
604	940	614
605	941	612
606	943	610
607	944	608
608	945	607
609	946	605
610	947	603
611	949	601
612	950	599
613	951	598
614	952	596
615	954	594
616	955	592
617	956	591
618	957	589
619	959	587
620	960	586
621	961	584
622	962	582
623	964	580
624	965	579
625	966	577
626	967	575
627	968	573
628	970	572
629	971	570
630	973	569
631	974	567
632	975	565
633	977	564
634	978	562
635	979	560
636	980	558
637	982	557
638	983	555
639	984	553
640	985	552
641	986	550
642	988	548
643	990	547
644	991	545
645	992	544
646	994	542
647	995	540
648	997	539
649	998	537
650	999	536
651	1001	534
652	1003	533
653	1005	531
654	1006	530
655	1008	528
656	1009	527
657	1011	525
658	1012	523
659	1013	522
660	1015	520
661	1016	519
662	1018	517
663	1019	516
664	1021	514
665	1022	512
666	1023	511
667	1024	509
668	1026	507
669	1028	506
670	1029	504
671	1031	503
672	1032	501
673	1034	500
674	1035	498
675	1036	496
676	1038	495
677	1039	493
678	1041	492
679	1042	490
680	1043	488
681	1045	487
682	1046	485
683	1048	484
684	1050	483
685	1052	481
686	1053	479
687	1054	478
688	1056	477
689	1058	475
690	1059	473
691	1060	472
692	1062	470
693	1063	468
694	1065	467
695	1066	465
696	1067	464
697	1069	462
698	1071	461
699	1072	459
700	1073	457
701	1074	456
702	1076	454
703	1077	453
704	1079	451
705	1080	450
706	1082	448
707	1083	446
708	1085	445
709	1086	443
710	1087	441
711	1088	440
712	1090	438
713	1091	437
714	1093	435
715	1095	434
716	1096	432
717	1097	431
718	1099	429
719	1100	428
720	1102	426
721	1103	424
722	1105	423
723	1106	421
724	1107	420
725	1109	418
726	1110	417
727	1111	415
728	1113	413
729	1114	412
730	1115	410
731	1117	409
732	1118	407
733	1119	405
734	1121	404
735	1122	402
736	1123	400
737	1124	399
738	1126	397
739	1127	396
740	1129	394
741	1130	393
742	1131	391
743	1133	389
744	1134	388
745	1135	386
746	1136	385
747	1138	383
748	1139	381
749	1140	380
750	1141	378
751	1143	376
752	1144	375
753	1145	373
754	1147	372
755	1148	370
756	1149	369
757	1151	367
758	1152	365
759	1153	364
760	1154	362
761	1156	361
762	1157	359
763	1158	357
764	1159	356
765	1161	354
766	1162	353
767	1164	351
768	1165	350
769	1166	348
770	1168	346
771	1169	345
772	1170	343
773	1171	342
774	1173	340
775	1174	338
776	1175	337
777	1176	335
778	1177	334
779	1179	332
780	1180	331
781	1181	329
782	1183	327
783	1184	326
784	1185	324
785	1186	323
786	1188	321
787	1189	319
788	1190	318
789	1191	316
790	1192	315
791	1194	313
792	1195	312
793	1196	310
794	1198	308
795	1199	307
796	1201	305
797	1202	304
798	1203	302
799	1204	301
800	1206	299
801	1207	298
802	1208	296
803	1209	294
804	1211	293
805	1212	291
806	1213	290
807	1215	288
808	1216	287
809	1217	285
810	1219	284
811	1220	282
812	1221	280
813	1222	279
814	1223	277
815	1225	276
816	1226	274
817	1227	273
818	1228	271
819	1230	270
820	1231	268
821	1233	267
822	1234	265
823	1235	263
824	1236	262
825	1237	260
826	1239	259
827	1240	257
828	1241	256
829	1243	254
830	1244	253
831	1245	251
832	1247	250
833	1248	248
834	1250	247
835	1251	245
836	1252	243
837	1253	242
838	1254	240
839	1255	239
840	1257	237
841	1258	236
842	1259	234
843	1260	233
844	1262	231
845	1263	230
846	1265	228
847	1266	227
848	1268	225
849	1270	224
850	1271	222
851	1272	221
852	1273	219
853	1274	217
854	1276	216
855	1277	214
856	1278	213
857	1279	211
858	1281	210
859	1282	208
860	1284	207
861	1285	205
862	1286	204
863	1288	202
864	1289	201
865	1290	199
866	1291	198
867	1292	196
868	1294	195
869	1295	193
870	1296	192
871	1297	190
872	1299	188
873	1300	187
874	1301	185
875	1303	184
876	1304	182
877	1305	181
878	1307	179
879	1308	178
880	1309	176
881	1310	175
882	1312	173
883	1313	172
884	1315	170
885	1316	169
886	1317	167
887	1318	166
888	1320	164
889	1321	163
890	1322	161
891	1324	160
892	1325	158
893	1327	157
894	1328	155
895	1329	154
896	1330	152
897	1332	151
898	1333	149
899	1334	148
900	1335	146
901	1336	145
902	1338	143
903	1339	142
904	1340	140
905	1341	139
906	1343	137
907	1344	136
908	1346	134
909	1347	133
910	1349	131
911	1350	130
912	1352	128
913	1353	127
914	1354	125
915	1355	124
916	1357	122
917	1358	121
918	1359	119
919	1360	118
920	1361	116
921	1362	115
922	1364	113
923	1365	112
924	1366	110
925	1368	109
926	1369	107
927	1371	106
928	1372	104
929	1373	103
930	1374	101
931	1376	100
932	1377	98
933	1378	97
934	1379	95
935	1381	94
936	1382	92
937	1383	91
938	1384	89
939	1385	88
940	1387	86
941	1388	85
942	1389	84
943	1391	82
944	1392	81
945	1394	79
946	1395	78
947	1396	76
948	1397	75
949	1398	73
950	1400	72
951	1401	70
952	1402	69
953	1403	67
954	1405	66
955	1406	64
956	1407	63
957	1408	61
958	1410	60
959	1411	58
960	1412	57
961	1414	55
962	1415	54
963	1416	52
964	1417	51
965	1419	49
966	1420	48
967	1421	46
968	1422	45
969	1424	44
970	1425	42
971	1426	41
972	1427	39
973	1428	38
974	1430	36
975	1431	35
976	1432	33
977	1433	32
978	1435	30
979	1437	29
980	1438	27
981	1439	26
982	1440	24
983	1442	23
984	1443	21
985	1445	20
986	1446	19
987	1447	17
988	1449	16
989	1450	14
990	1452	13
991	1453	11
992	1454	10
993	1456	8
994	1457	7
995	1458	5
996	1459	4
997	1461	2
998	1463	1
999	1464	0
